,# of Overlap Pathways,Family
0,10939,"C17H21O9, C18H21O11"
1,9156,"C18H19O10, C19H19O12"
2,388,"C16H13O9, C17H17O10, C18H17O12"
3,407,"C16H13O9, C16H15O10, C17H15O12"
4,858,"C16H13O9, C17H13O11, C17H15O12"
5,30468,"C19H19O10, C20H19O12"
6,7394,"C19H17O10, C20H17O12"
7,3613,"C17H17O11, C18H17O13"
8,1517,"C15H13O10, C16H13O12"
9,986,"C15H13O10, C15H15O11"
10,8834,"C19H21O9, C19H23O10"
11,1882,"C19H21O9, C20H21O11"
12,1818,"C19H15O12, C19H17O13"
13,12440,"C17H17O10, C18H21O11"
14,5700,"C18H19O11, C18H21O12"
15,26716,"C16H17O10, C17H17O12"
16,12114,"C18H15O11, C19H15O13"
17,6525,"C17H17O10, C17H19O11"
18,2266,"C18H19O9, C19H19O11, C19H21O12"
19,2191,"C18H19O9, C19H23O10"
20,1628,"C18H19O9, C18H21O10, C19H21O12"
21,1888,"C18H19O9, C18H21O10, C18H23O11"
22,636,"C17H13O10, C17H15O11"
23,4255,"C17H13O10, C18H17O11"
24,44,"C19H13O11, C20H13O13"
25,15943,"C19H23O10, C20H23O12"
26,420,"C16H13O12, C16H15O13"
27,10478,"C18H19O10, C18H21O11"
28,21239,"C18H17O10, C18H19O11"
29,7716,"C18H17O11, C19H21O12"
30,4013,"C17H15O10, C17H17O11"
31,10660,"C17H15O10, C18H15O12"
32,8983,"C17H15O10, C18H19O11"
33,30387,"C19H21O10, C20H21O12"
34,1175,"C13H13O8, C14H13O10"
35,364,"C20H19O10, C20H21O11"
36,1991,"C20H19O10, C21H19O12"
37,4482,"C16H17O9, C17H17O11"
38,8561,"C17H17O10, C18H17O12"
39,15054,"C18H21O10, C18H23O11"
40,2823,"C19H21O9, C19H23O10, C20H23O12"
41,563,"C19H21O9, C19H23O10, C19H25O11"
42,765,"C19H21O9, C20H21O11, C20H23O12"
43,8535,"C18H21O9, C19H21O11"
44,2625,"C16H15O10, C17H15O12"
45,11134,"C18H17O11, C19H17O13"
46,1772,"C19H27O10, C20H27O12"
47,7161,"C17H19O10, C18H19O12"
48,536,"C17H19O10, C17H21O11"
49,8670,"C20H23O9, C21H23O11"
50,706,"C19H13O12, C20H17O13"
51,1482,"C19H13O12, C19H15O13"
52,520,"C18H17O9, C19H21O10"
53,442,"C18H17O9, C19H17O11"
54,1950,"C16H19O8, C17H19O10"
55,664,"C16H19O8, C16H21O9"
56,893,"C18H19O9, C19H19O11, C20H19O13"
57,623,"C19H23O8, C19H25O9, C19H27O10"
58,3249,"C17H17O9, C18H17O11"
59,2812,"C17H13O10, C18H13O12"
60,3302,"C15H15O9, C16H15O11"
61,1333,"C19H25O9, C19H27O10"
62,1082,"C17H19O9, C18H19O11, C18H21O12"
63,763,"C15H13O10, C16H13O12, C16H15O13"
