,# of Overlap Pathways,Family
0,4362,"C16H19O9, C17H19O11"
1,3156,"C16H19O9, C17H23O10"
2,88156,"C18H17O11, C19H17O13"
3,32996,"C21H25O11, C21H27O12"
4,11931,"C17H17O10, C17H19O11"
5,2522,"C19H11O12, C19H13O13"
6,165729,"C19H19O11, C20H19O13"
7,76116,"C19H19O10, C20H19O12"
8,133700,"C18H19O11, C19H19O13"
9,43127,"C19H17O11, C20H17O13"
10,36359,"C20H19O12, C20H21O13"
11,8824,"C20H21O9, C21H21O11, C21H23O12"
12,16592,"C18H13O11, C19H17O12"
13,12898,"C18H13O11, C18H15O12, C19H15O14"
14,19734,"C20H23O11, C20H25O12"
15,3666,"C20H11O13, C20H13O14"
16,26344,"C19H21O10, C20H21O12"
17,60441,"C19H17O12, C19H19O13"
18,2966,"C19H19O10, C20H23O11"
19,8450,"C17H19O10, C17H21O11"
20,10351,"C20H21O10, C21H25O11"
21,16668,"C20H21O10, C21H21O12"
22,413,"C20H21O8, C21H21O10, C22H25O11"
23,715,"C20H21O8, C21H21O10, C21H23O11"
24,338,"C20H21O8, C21H21O10, C22H21O12"
25,291,"C20H21O8, C21H25O9, C22H25O11"
26,13490,"C18H19O10, C19H19O12"
27,77124,"C19H21O11, C20H21O13"
28,91330,"C18H15O12, C19H15O14"
29,25664,"C20H15O12, C20H17O13"
30,41840,"C20H23O10, C21H23O12"
31,4766,"C21H19O11, C21H21O12"
32,15517,"C20H17O11, C21H17O13"
33,28838,"C20H17O11, C20H19O12"
34,16584,"C20H17O11, C21H21O12"
35,8909,"C19H21O11, C19H23O12"
36,26299,"C19H21O11, C20H25O12"
37,4840,"C17H17O9, C18H17O11, C19H17O13"
38,21343,"C19H21O9, C20H21O11"
39,9052,"C19H17O11, C19H19O12, C19H21O13"
40,18665,"C19H17O11, C20H21O12"
41,21247,"C18H19O10, C19H19O12, C19H21O13"
42,3627,"C14H19O8, C15H19O10"
43,3143,"C18H11O12, C19H15O13"
44,60206,"C19H19O12, C19H21O13"
45,6595,"C17H17O11, C18H17O13"
46,253,"C17H17O11, C18H21O12"
47,5200,"C19H17O11, C19H19O12"
48,9193,"C19H13O12, C19H15O13"
49,16243,"C19H17O10, C20H17O12, C20H19O13"
50,14491,"C17H13O11, C18H17O12"
51,28992,"C18H17O10, C19H17O12, C20H21O13"
52,3709,"C17H19O10, C18H19O12"
53,14091,"C19H23O10, C20H23O12"
54,29167,"C19H15O12, C19H17O13"
55,6704,"C19H15O12, C20H19O13"
56,13106,"C17H15O11, C18H15O13"
57,45061,"C18H15O11, C19H15O13"
58,19657,"C18H15O12, C19H19O13"
59,91,"C16H15O10, C16H17O11"
60,3042,"C16H15O10, C17H19O11"
61,11186,"C16H15O10, C17H15O12"
62,16606,"C18H17O10, C19H21O11, C20H21O13"
63,8535,"C19H15O13, C19H17O14"
64,10797,"C17H19O9, C18H19O11, C19H19O13"
65,70531,"C19H19O11, C20H23O12"
66,6903,"C19H19O9, C20H19O11, C21H23O12"
67,7360,"C19H19O9, C20H19O11, C20H21O12"
68,7593,"C21H17O11, C22H21O12"
69,40436,"C21H17O11, C21H19O12"
70,11848,"C16H17O9, C17H17O11"
71,3011,"C18H17O12, C19H17O14"
72,8597,"C19H23O9, C20H23O11, C20H25O12"
73,22222,"C18H17O10, C19H17O12, C19H19O13"
74,5576,"C16H15O11, C16H17O12"
75,3708,"C16H15O9, C17H15O11"
76,6682,"C18H23O10, C19H23O12"
77,11167,"C20H25O8, C21H25O10"
78,8594,"C19H13O12, C20H17O13"
79,6576,"C19H13O12, C20H13O14"
