,# of Overlap Pathways,Family
0,1283681,"C18H17O13, C19H21O14"
1,3185972,"C19H19O13, C19H21O14"
2,35774,"C17H17O12, C18H21O13"
3,137364,"C18H15O11, C19H15O13, C19H17O14"
4,2785005,"C18H21O12, C19H21O14"
5,110228,"C19H17O11, C20H21O12"
6,343466,"C19H17O11, C20H17O13"
7,1649204,"C19H21O11, C20H21O13"
8,232852,"C19H21O11, C19H23O12"
9,250825,"C21H27O11, C21H29O12"
10,49484,"C17H17O11, C17H19O12"
11,99424,"C17H17O11, C18H21O12, C19H21O14"
12,186341,"C17H17O11, C18H17O13, C19H21O14"
13,1935477,"C19H21O12, C20H25O13"
14,1487276,"C18H17O12, C19H17O14"
15,1139569,"C20H21O11, C21H25O12"
16,310139,"C17H13O13, C18H13O15"
17,65980,"C17H15O12, C17H17O13"
18,852694,"C19H17O12, C20H21O13"
19,8705,"C22H19O10, C23H23O11"
20,162593,"C17H15O12, C18H15O14, C18H17O15"
21,157216,"C19H13O12, C20H13O14"
22,128831,"C17H21O10, C18H21O12, C19H21O14"
23,173713,"C21H21O10, C22H21O12"
24,381596,"C19H17O13, C19H19O14"
25,45549,"C19H17O12, C19H19O13"
26,788543,"C20H25O10, C21H25O12"
27,68499,"C21H15O12, C21H17O13"
28,48280,"C19H21O12, C19H23O13"
29,79919,"C16H17O12, C17H17O14"
30,484076,"C20H23O12, C20H25O13"
31,473885,"C21H23O11, C21H25O12"
32,294298,"C19H21O10, C20H21O12"
33,243869,"C18H21O11, C19H21O13"
34,29794,"C18H21O11, C18H23O12"
35,138187,"C19H19O10, C20H19O12, C20H21O13"
36,853454,"C20H19O12, C20H21O13"
37,646065,"C17H19O11, C18H19O13"
38,242933,"C18H19O9, C19H19O11, C20H19O13"
39,15238,"C23H23O10, C23H25O11"
40,37396,"C18H17O13, C18H19O14"
41,184962,"C19H23O10, C20H23O12"
42,60482,"C17H21O9, C18H21O11, C18H23O12"
43,78675,"C15H15O11, C16H15O13"
44,75525,"C20H21O11, C20H23O12, C20H25O13"
45,28340,"C18H17O9, C19H17O11, C20H17O13"
46,393352,"C16H15O12, C17H15O14"
47,106516,"C18H19O9, C19H19O11, C19H21O12"
48,60357,"C17H15O13, C17H17O14"
49,56873,"C18H21O9, C19H21O11, C19H23O12"
50,101628,"C18H21O9, C19H21O11, C20H21O13"
51,177500,"C18H17O11, C19H17O13, C19H19O14"
52,286005,"C18H17O11, C19H21O12"
53,177803,"C17H19O10, C18H19O12, C19H19O14"
54,1183721,"C19H23O11, C20H23O13"
55,382866,"C18H17O12, C18H19O13"
56,22803,"C16H19O8, C17H19O10"
57,260271,"C18H15O14, C18H17O15"
58,1218961,"C18H19O12, C19H19O14"
59,216621,"C17H13O12, C18H13O14"
60,282253,"C18H23O10, C19H23O12"
61,233477,"C18H15O13, C19H19O14"
62,121225,"C19H21O10, C20H25O11"
63,38706,"C20H25O10, C20H27O11"
64,4431,"C18H11O11, C19H15O12"
65,7697,"C18H11O11, C19H11O13, C19H13O14"
66,130216,"C17H17O12, C17H19O13"
67,361483,"C21H17O11, C22H21O12"
68,41835,"C21H17O11, C21H19O12"
69,246118,"C17H15O12, C18H19O13"
70,425220,"C19H19O11, C20H19O13"
71,44426,"C19H19O11, C20H23O12"
72,9419,"C18H23O8, C19H23O10, C19H25O11"
73,101553,"C19H21O10, C20H21O12, C20H23O13"
74,19522,"C15H17O10, C16H17O12"
